time,N1,N2,N3,N4,N5
10,0.1,0.1,0.1,0.1,0.1
20,25.7165897249188,11.2240558769325,12.7074950177895,11.2240558769325,12.7074950177895
30,25.437287543558,20.8700507633682,3.36253616013152,20.8700507633682,3.36253616013152
40,25.3569642386852,23.416577258094,0.893521922568731,23.416577258094,0.893521922568731
50,25.3393883588936,24.0895899057223,0.237759011163037,24.0895899057223,0.237759011163037
60,25.3349291359203,24.268469635473,0.0632838875251055,24.268469635473,0.0632838875251055
70,25.3337569972747,24.3160683317599,0.0168453680996845,24.3160683317599,0.0168453680996845
80,25.3334460297052,24.328737583788,0.00448410768912665,24.328737583788,0.00448410768912665
90,25.3333633266894,24.332109978188,0.00119364100279443,24.332109978188,0.00119364100279443
100,25.3333413169761,24.3330076838148,0.000317740079438858,24.3330076838148,0.000317740079438858
110,25.3333354585026,24.3332466473725,8.45805342482914e-05,24.3332466473725,8.45805342482914e-05
120,25.3333338990388,24.3333102580412,2.25148412452979e-05,24.3333102580412,2.25148412452979e-05
130,25.3333334839207,24.3333271908261,5.99331859846063e-06,24.3333271908261,5.99331859846063e-06
140,25.3333333734188,24.3333316982339,1.59538624635973e-06,24.3333316982339,1.59538624635973e-06
150,25.3333333440038,24.3333328980795,4.24682458936505e-07,24.3333328980795,4.24682458936505e-07
160,25.3333333361737,24.3333332174713,1.13047979086543e-07,24.3333332174713,1.13047979086543e-07
170,25.3333333340894,24.3333333024915,3.00927088186304e-08,24.3333333024915,3.00927088186304e-08
180,25.3333333335346,24.3333333251234,8.010502544056e-09,24.3333333251234,8.010502544056e-09
190,25.3333333333869,24.3333333311479,2.13234878241245e-09,24.3333333311479,2.13234878241245e-09
200,25.3333333333476,24.3333333327516,5.67618736135415e-10,24.3333333327516,5.67618736135415e-10
210,25.3333333333372,24.3333333331785,1.51096777539206e-10,24.3333333331785,1.51096777539206e-10
220,25.3333333333345,24.3333333332921,4.0221075749144e-11,24.3333333332921,4.0221075749144e-11
230,25.3333333359504,24.3337105003675,1.07066144020919e-11,24.3329561590337,1.07066144020919e-11
240,13.0901471339341,40.4647647958149,1.40090841438885e-11,5.74350810199137,2.26074316320099e-12
250,3.81848070625426,47.6292563128326,2.38938222701578e-11,0.715745653036601,3.65188921294897e-13
260,1.03653980668429,49.3374340425113,3.54840978964959e-11,0.0869143111418879,5.66261978924161e-14
270,0.277215032114551,49.7559347405579,5.1183612983566e-11,0.0104982222339609,8.70688329529087e-15
280,0.0738803842504122,49.8623727768723,7.33240066406519e-11,0.00126648192152964,1.33613597423845e-15
290,0.0196725731031895,49.8900732355838,1.04860974128819e-10,0.000152737861839292,2.04938655849574e-16
300,0.00523714748254571,49.8973684863675,1.4989535540433e-10,1.8418716620303e-05,3.14297968683312e-17
310,0.00139412782500635,49.8993008354596,2.14245472961969e-10,2.22107292369957e-06,4.81997378688684e-18
320,0.000371110761281197,49.8998140473885,3.0621163457204e-10,2.67832844207328e-07,7.39169295992393e-19
330,9.87876570551606e-05,49.8999505197964,4.3765122931578e-10,3.22971501059457e-08,1.1335537976027e-19
340,2.62967053495763e-05,49.8999868307571,6.25509152595335e-10,3.89461380317232e-09,1.73836144578109e-20
350,7.00002944102761e-06,49.899996494345,8.94002909976152e-10,4.69639427270775e-10,2.66586378015258e-21
360,1.86336682365705e-06,49.8999990663298,1.27774481971924e-09,5.66323637237281e-11,4.08823458202746e-22
370,4.96017320504394e-07,49.8999997507239,1.82620407482002e-09,6.82912125935767e-12,6.26951081467297e-23
380,1.32036901025062e-07,49.899999932583,2.61008398145206e-09,8.23502570189087e-13,9.61460624211643e-24
390,3.51474484573908e-08,49.8999999805368,3.73043651816738e-09,9.93036229690377e-14,1.47444762192737e-24
400,9.35604458286431e-09,49.8999999926506,5.33168921156926e-09,1.19747161579782e-14,2.26113866192067e-25
410,2.49052417939034e-09,49.8999999949443,7.62026366196955e-09,1.44399391252107e-15,3.46756844535087e-26
420,6.62962925516717e-10,49.8999999942245,1.08911858830994e-08,1.74126751053206e-16,5.31768843966103e-27
430,1.76476841397532e-10,49.8999999921315,1.55661188639257e-08,2.09974053001682e-17,8.15493934343956e-28
440,4.69770998505949e-11,49.8999999888569,2.22477202281174e-08,2.53201203531763e-18,1.25060045260804e-28
450,1.2505028381403e-11,49.8999999841011,3.17973323767725e-08,3.05327484768054e-19,1.91785790939957e-29
460,3.3287651922629e-12,49.899999977284,4.54460203502406e-08,3.68184951942112e-20,2.94113036096253e-30
470,8.86097765386873e-13,49.8999999675353,6.49532715848554e-08,4.43982823682004e-21,4.51036948963803e-31
480,2.35874026684768e-13,49.8999999536007,9.28338159574063e-08,5.35385128266664e-22,6.91687563480411e-32
490,6.27882820994397e-14,49.8999999336843,1.32681806070852e-07,6.45604334837138e-23,1.06073723351197e-32
500,1.6713872332767e-14,49.8999999052191,1.89634148692299e-07,7.78514260371497e-24,1.62669323247166e-33
510,4.44913475854849e-15,49.8999998645353,2.71032716584109e-07,9.38786220704977e-25,2.49461486668625e-34
520,1.18433357044866e-15,49.8999998063884,3.87370808145821e-07,1.13205321082256e-25,3.82561580031648e-35
530,3.15262648093147e-16,49.8999997232827,5.53645865388679e-07,1.36510788478004e-26,5.86677183912746e-36
540,8.39210672764385e-17,49.8999996045045,7.91292832546346e-07,1.6461412935456e-27,8.99698600205551e-37
550,2.23392957314495e-17,49.899999434742,1.13094738945322e-06,1.98503077154705e-28,1.37973248858057e-37
560,5.94658945089233e-18,49.8999991921107,1.61639527501114e-06,2.39368709010798e-29,2.11588829719319e-38
570,1.58294721918294e-18,49.8999988453323,2.31021681778336e-06,2.88647307896662e-30,3.24481978958464e-39
580,4.21371260833359e-19,49.8999983497028,3.30185432384651e-06,3.48070842890377e-31,4.97609229704242e-40
590,1.12166556714917e-19,49.8999976413292,4.71914230793856e-06,4.19727841743504e-32,7.63108465843783e-41
600,2.98580790202793e-20,49.8999966288933,6.74478695623624e-06,5.06136795199506e-33,1.17026472736386e-41
610,7.94804534072162e-21,49.8999951818795,9.63991922372422e-06,6.10334672941074e-34,1.79465906838089e-42
620,2.11572299275967e-21,49.8999931137496,1.37777578423019e-05,7.35983662149516e-35,2.75219878364516e-43
630,5.63193029998225e-22,49.899990157896,1.96917217955794e-05,8.87499880090615e-36,4.22063345403057e-44
640,1.49918673502658e-22,49.8999859332722,2.81441945040316e-05,1.07020858440022e-36,6.47255086282165e-45
650,3.99074686927094e-23,49.8999798952722,4.02248041676091e-05,1.29053133595634e-37,9.92597785435387e-46
660,1.06231330257589e-23,49.8999712655236,5.74908895907382e-05,1.55621169209454e-38,1.5221979224899e-46
670,2.82781530229317e-24,49.8999589315471,8.21682587964567e-05,1.87658736186987e-39,2.33436593903421e-47
680,7.52747696445746e-25,49.8999413033455,0.000117438119709573,2.262918387598e-40,3.57986571663278e-48
690,2.00376964674958e-25,49.8999161084378,0.000167847169778673,2.72878288526334e-41,5.48990101660848e-49
700,5.33391511449874e-26,49.8998800989151,0.000239893705950442,3.29055424950882e-42,8.41903398524176e-50
710,1.41985610051689e-26,49.899828632762,0.00034286530316874,3.96797658982323e-43,1.29110026153785e-50
720,3.77957055705021e-27,49.8997550754761,0.00049003603077089,4.78485861307415e-44,1.97996546592959e-51
730,1.00609833534275e-27,49.8996499448682,0.000700377506427417,5.76991032369996e-45,3.03637338470379e-52
740,2.6781702796875e-28,49.8994996888319,0.00100100428923188,6.95775192068235e-46,4.65642501574261e-53
750,7.12911517946064e-29,49.8992849385991,0.00143066870115171,8.39013030231671e-47,7.14084943534461e-54
760,1.89772217431922e-29,49.898978012462,0.00204475529135212,1.01173858516431e-47,1.09508262346886e-54
770,5.051600508979e-30,49.8985393484738,0.00292241815553708,1.22002209118498e-48,1.67935898058439e-55
780,1.34469706568776e-30,49.8979124069131,0.00417677989921933,1.47118318608492e-49,2.57537029599737e-56
790,3.57946911399491e-31,49.8970163867023,0.00596950436172855,1.77404792951977e-50,3.94943610074243e-57
800,9.52820140213058e-32,49.895735819546,0.0085316162802865,2.13925859244058e-51,6.0566078477748e-58
810,2.53629980972609e-32,49.8939057058869,0.0121932407258823,2.579646979476e-52,9.28800249457438e-59
820,6.75128535985331e-33,49.8912902878237,0.0174260734644459,3.11068418800969e-53,1.42433798167594e-59
830,1.79707801811575e-33,49.8875527456528,0.0249040109997005,3.75102223726641e-54,2.18424190315145e-60
840,4.78343272031302e-34,49.8822119586657,0.0355896619635332,4.52314595955282e-55,3.34953138062514e-61
850,1.27321387940393e-34,49.8745808522962,0.0508576998444118,5.45415695653762e-56,5.1364271599899e-62
860,3.38881047227365e-35,49.86367857989,0.0726705663959819,6.57671526653536e-57,7.87642805975195e-63
