x,y,z
0.8,0.2,8
0.981928437,0.019705004,7.498014467
0.998565338,0.00172025,6.687356693
0.999801195,0.000263957,5.934667396
0.999950728,7.11E-05,5.264170688
0.999979461,3.18E-05,4.669075952
0.999986436,2.22E-05,4.141184296
0.999986541,2.31E-05,3.672965526
0.999980853,3.43E-05,3.257699989
0.999962523,6.94E-05,2.889432982
0.999902676,0.000185661,2.562934218
0.999675192,0.000635663,2.273770808
0.998643985,0.002712654,2.018918536
0.993042179,0.014171414,1.800258501
0.955245965,0.091725297,1.644581752
0.57486672,0.742841297,1.680642396
0.004966693,0.318095249,1.890521363
0.583540338,0.074582158,1.811895695
0.733558986,0.497965829,1.797788351
0.006053293,0.497297243,2.036950124
0.32958249,0.067385943,1.998852907
0.825388954,0.333520766,1.937481952
0.016819638,0.761474125,2.175235375
0.144278315,0.075115646,2.205441938
0.878386033,0.227275191,2.102635999
0.109889215,1.021638804,2.30240294
0.055338079,0.107227615,2.430412843
0.903631254,0.159068118,2.297116498
0.405669831,0.896509721,2.427274823
0.022558724,0.18860582,2.666645058
0.889937143,0.115544444,2.526251243
0.660151878,0.587253263,2.570664584
0.014900745,0.380330368,2.893883283
0.757545083,0.089856339,2.797749357
0.80537446,0.353132292,2.753751648
0.045391622,0.775493882,3.076964821
0.364632418,0.086458237,3.120831003
0.881498109,0.213665128,2.998276246
0.380707577,0.864530108,3.206625942
0.073484096,0.164317601,3.487473019
0.90882043,0.139181506,3.328419988
0.728163925,0.459375716,3.371912626
0.048283331,0.590010761,3.783365478
0.724491452,0.110574946,3.773826633
0.866264435,0.230552392,3.677811079
0.515180102,0.702245123,3.897420966
0.094704561,0.26726731,4.309282192
0.890882257,0.151605836,4.203604136
0.827656626,0.283598496,4.1844322
0.492957318,0.685835256,4.477448007
0.178062563,0.309373903,4.937707691
0.861173341,0.19563001,4.927718387
0.839851048,0.247826435,4.933902915
0.751642557,0.369469741,5.082557342
0.528886328,0.585440789,5.47264932
0.386837184,0.481602283,6.015610131
0.729418086,0.319470063,6.343908642
0.853600392,0.193952211,6.449063583
0.948029203,0.06986211,6.195624912
0.986026104,0.01950181,5.656288051
0.995331964,0.006929516,5.063007606
0.997656731,0.003694601,4.508188864
0.998218429,0.002960308,4.008612282
0.998014826,0.003449613,3.564109367
0.996876924,0.005637334,3.171973026
0.993281425,0.012522401,2.831970307
0.980539941,0.037204039,2.554508182
0.920963567,0.152225685,2.390631618
0.461566196,0.837243994,2.510104033
0.021459437,0.210939871,2.773261504
0.883510925,0.111172729,2.63348141
0.698815152,0.526943782,2.661347836
0.01695298,0.447665282,2.999873182
0.708094122,0.088189839,2.923846582
0.828413952,0.311253849,2.860380506
0.089815117,0.882059669,3.168672089
0.267975148,0.094826203,3.270846494
0.893498653,0.188747654,3.131568836
0.513766926,0.738144799,3.295425662
0.049619434,0.236762508,3.646815718
0.899618534,0.12726316,3.502730889
0.789311747,0.36128779,3.497411771
0.124289082,0.81146535,3.878824681
0.480845901,0.120399475,4.00484182
0.886818329,0.191273182,3.879741655
0.683226841,0.500738144,4.002430368
0.091155301,0.563491689,4.476297578
0.795352506,0.153825026,4.518844447
0.863043678,0.221583965,4.455243
0.720085475,0.428979112,4.594813937
0.268909117,0.704360783,5.06902055
0.582072692,0.254874174,5.396017475
0.838060692,0.236561884,5.448261186
0.842624847,0.231236235,5.490688427
0.85388607,0.214588257,5.51133494
0.875138017,0.184222451,5.480820049
0.903360826,0.144094956,5.366762694
0.930701985,0.105115922,5.153117337
0.950108482,0.077561205,4.858077907
0.959722191,0.064537729,4.525191604
0.96003804,0.066082715,4.199904184
0.948277283,0.087951969,3.923645945
0.907609122,0.159613247,3.752665912
0.743878031,0.422049755,3.808973755
0.109333728,0.709356371,4.245192386
0.663398203,0.139355657,4.344805006
0.875411017,0.204938679,4.250162342
0.720365399,0.436678029,4.370301501
0.200630308,0.705543958,4.844170137
0.646335331,0.207476688,5.077978892
0.855586752,0.220173382,5.065474056
0.818898358,0.274325353,5.121729058
0.735069742,0.383027041,5.3126238
0.563274796,0.541487992,5.708400895
0.465917575,0.500111731,6.241300703
0.700697422,0.340053707,6.635112317
0.86648611,0.170811284,6.735853425
0.965955704,0.044264534,6.371437213
0.99280199,0.009867796,5.748568008
0.997851526,0.003160968,5.121459655
0.998986132,0.001589799,4.550306147
0.999260937,0.001223402,4.040116383
0.999202815,0.001381527,3.58687297
0.998780166,0.002197909,3.185615279
0.997448452,0.004752114,2.832657648
0.992906723,0.013582466,2.528634895
0.973911206,0.050984873,2.289833436
0.862083104,0.265260041,2.195118833
0.063472633,0.94867725,2.427581413
0.098635728,0.091039432,2.522885543
0.898127385,0.181208036,2.393027081
0.334258076,0.945858345,2.554512446
0.034496923,0.15832805,2.778283898
0.904172164,0.128181433,2.630162195
0.629421932,0.6256283,2.696400559
0.017911127,0.340734566,3.02718662
0.815334995,0.096760724,2.91611742
0.796890074,0.364427695,2.882217202
0.048830246,0.759572577,3.221291644
0.421447685,0.089907982,3.262978312
0.88049705,0.213688848,3.141105109
0.422486039,0.821663913,3.347774683
0.07444019,0.183124571,3.659325991
0.907076977,0.13835564,3.504017859
0.75991189,0.406398299,3.528938785
0.084242783,0.720206564,3.938239082
0.620156758,0.119090293,4.006224981
0.878652915,0.205534397,3.895158823
0.646462556,0.546612617,4.049649748
0.087154446,0.481179252,4.528350133
0.834691452,0.157584898,4.534769012
0.856919451,0.230867325,4.483581792
0.704358455,0.44801241,4.642917313
0.252906939,0.684245845,5.132561331
0.623793264,0.256680401,5.44323915
0.835863853,0.238868948,5.503385393
0.845947471,0.225291353,5.543325221
0.866266972,0.196098023,5.538242684
0.896357435,0.15334378,5.44936763
0.927759524,0.108583256,5.249598051
0.951166058,0.075186057,4.95014791
0.963766269,0.057563618,4.597332911
0.967127605,0.054035293,4.241444895
0.961106107,0.066004131,3.922554766
0.937306003,0.109002495,3.683281345
0.851148006,0.257876746,3.60709736
0.404676859,0.797477198,3.875770293
0.144659671,0.191932678,4.218756546
0.898093344,0.158003527,4.087562129
0.799520001,0.329505716,4.101743652
0.340056811,0.780268134,4.467185109
0.321945247,0.209883461,4.814065802
0.873875026,0.193867041,4.752876402
0.820873903,0.279903385,4.780484257
0.654305667,0.493303429,5.023190733
0.299201422,0.616874438,5.547666171
0.648107023,0.316917754,5.913990068
0.815366344,0.252517055,6.064179176
0.886574091,0.157712296,6.045074056
0.950896372,0.069324628,5.75982444
0.981380191,0.027257916,5.278317438
0.991365594,0.013314419,4.750258208
0.994316692,0.009230054,4.248915904
0.994583109,0.009212854,3.795057271
0.992665213,0.012979458,3.394209741
0.986204341,0.025234965,3.052388669
0.964029539,0.067424442,2.791550167
0.859535682,0.260832566,2.693982968
0.147910275,0.962226605,2.952844859
0.136673771,0.104158823,3.103812928
0.903416249,0.167882935,2.954189808
0.547206455,0.712108299,3.085541658
0.034723588,0.259963018,3.43080768
0.889487938,0.117295,3.291625935
0.786260238,0.371854563,3.280215203
0.081342538,0.776710845,3.654306999
0.50170535,0.106270585,3.72972629
0.883871794,0.200876713,3.60509703
0.5930649,0.624594884,3.76988692
0.065527719,0.346496032,4.205399487
